why,interesting,linkedinExperienceTitle,linkedinSearchResultUri,linkedInProfileUri,linkedInSearchQueryString
,,User Experience Engineer,https://www.linkedin.com/in/iandavidjohnson/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=X3K4ZPfgR%2FGSJMznwqLvyQ%3D%3D,https://www.linkedin.com/in/iandavidjohnson/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=X3K4ZPfgR%2FGSJMznwqLvyQ%3D%3D
,,User Experience Engineering Lead,https://www.linkedin.com/in/ginader/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2Bi%2FXGE0rQ7OwVpVT4WUrMg%3D%3D,https://www.linkedin.com/in/ginader/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2Bi%2FXGE0rQ7OwVpVT4WUrMg%3D%3D
,,User Experience Engineer,https://www.linkedin.com/in/carlmagnusborg/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=vPoDPY9%2FTvOXqkpgG9hTEA%3D%3D,https://www.linkedin.com/in/carlmagnusborg/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BMaredZd0SriUap5J7MF6kQ%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=vPoDPY9%2FTvOXqkpgG9hTEA%3D%3D
,,Senior UX Engineer,https://www.linkedin.com/in/jonathan-reid-a5a2819/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=SiLdrmCzRsmRltWNi0KcDw%3D%3D,https://www.linkedin.com/in/jonathan-reid-a5a2819/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=SiLdrmCzRsmRltWNi0KcDw%3D%3D
,,Staff User Experience Engineer,https://www.linkedin.com/in/manikrathee/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=M3f2MzoCQ5SiB6gWb2wpQg%3D%3D,https://www.linkedin.com/in/manikrathee/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=M3f2MzoCQ5SiB6gWb2wpQg%3D%3D
,,Software Engineer,https://www.linkedin.com/in/jonathan-willing-60681999/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=ZRr%2BpRHbSHiu57ajVTEwPA%3D%3D,https://www.linkedin.com/in/jonathan-willing-60681999/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=ZRr%2BpRHbSHiu57ajVTEwPA%3D%3D
,,UX Engineer,https://www.linkedin.com/in/robert-webb-66009b108/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=XAjblLQJR1OGGrap%2Fv6OwA%3D%3D,https://www.linkedin.com/in/robert-webb-66009b108/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=XAjblLQJR1OGGrap%2Fv6OwA%3D%3D
,,User Experience Engineer (Contract),https://www.linkedin.com/in/ketrinayim/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=HHNFSBesQ%2BmEDKh%2BNac%2FQA%3D%3D,https://www.linkedin.com/in/ketrinayim/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=HHNFSBesQ%2BmEDKh%2BNac%2FQA%3D%3D
,,Android UX Engineer,https://www.linkedin.com/in/justinmockler/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=YaOZFPqWSpu0HnpQKVbtMQ%3D%3D,https://www.linkedin.com/in/justinmockler/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=YaOZFPqWSpu0HnpQKVbtMQ%3D%3D
,,Interaction Designer,https://www.linkedin.com/in/vinaya-vishwanath-a1010120/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2Bv%2FnDGiQRLGAIon2kaw%2BhQ%3D%3D,https://www.linkedin.com/in/vinaya-vishwanath-a1010120/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BYj6EyCZuTWupur6p%2F0zmCw%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2Bv%2FnDGiQRLGAIon2kaw%2BhQ%3D%3D
